Fecha;Casos registrados Ciudad de C�rdoba (acumulado);Casos registrados Provincia de C�rdoba (acumulado);Fallecidos Provincia de C�rdoba (acumulado);Nuevos casos registrados Ciudad de C�rdoba;Nuevos casos registrados Provincia de C�rdoba;Notas al pie
1/8/2020;1048;2343;49;41;89;29
2/8/2020;1089;2430;50;41;86;30
3/8/2020;1135;2563;50;46;132;31
4/8/2020;1217;2707;51;81;144;32
5/8/2020;1293;2844;53;76;136;33
6/8/2020;1350;2988;59;56;138;34
7/8/2020;1446;3150;62;96;162;-
8/8/2020;1521;3300;66;75;149;35
9/8/2020;1656;3505;68;133;202;36
10/8/2020;1745;3675;71;89;170;-
11/8/2020;1833;3823;74;91;147;37
12/8/2020;1915;3964;74;81;139;38
13/8/2020;2012;4136;77;96;168;39
14/8/2020;2071;4280;77;58;142;40
15/8/2020;2141;4439;77;70;157;41
16/8/2020;2191;4580;81;49;140;42
17/8/2020;2274;4752;82;81;169;43
18/8/2020;2337;4978;87;61;221;44
19/8/2020;2368;5077;87;30;98;45
20/8/2020;2441;5258;92;72;178;46
21/8/2020;2526;5440;94;85;180;47
22/8/2020;2623;5659;98;95;216;48
23/8/2020;2712;5892;99;89;233;-
24/8/2020;2788;6100;104;75;207;49
25/8/2020;2956;6397;106;167;295;50
26/8/2020;3108;6752;110;151;351;51
27/8/2020;3264;7113;110;153;359;52
28/8/2020;3382;7488;112;115;371;53
29/8/2020;3558;7825;118;176;335;54
30/8/2020;3663;8117;124;105;292;-
31/8/2020;3872;8505;127;207;382;55
1/9/2020;4040;8897;128;166;389;56
2/9/2020;4241;9377;132;198;474;57
3/9/2020;4405;9826;138;163;444;58
4/9/2020;4594;10323;142;185;487;59
5/9/2020;4794;10747;150;198;418;60
6/9/2020;4963;11134;155;168;384;61
7/9/2020;5164;11589;162;200;456;62
8/9/2020;5320;11970;168;155;373;63
9/9/2020;5599;12547;175;276;574;64
10/9/2020;5778;12990;180;176;434;65
11/9/2020;5997;13377;186;217;383;66
12/9/2020;6128;13868;192;130;484;67
13/9/2020;6340;14420;196;212;552;68
14/9/2020;6595;14955;203;254;530;69
15/9/2020;6875;15674;211;278;716;70
16/9/2020;7136;16365;220;261;686;71
17/9/2020;7462;17122;227;325;751;72
18/9/2020;7818;17838;236;355;711;73
19/9/2020;8076;18589;245;249;749;74
20/9/2020;8258;19189;253;181;598;75
21/9/2020;8626;19959;258;368;768;76
22/9/2020;9237;21111;267;611;1145;77
23/9/2020;10014;22546;278;775;1431;78
24/9/2020;10807;24172;291;792;1623;79
